,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,San Juan,AR,-31.5375,-68.5364,91.36,31,0,19.22,clear sky
1,Vaini,TO,-21.2,-175.2,84.2,79,20,8.05,few clouds
2,Hervey Bay,AU,-25.2986,152.8535,78.01,77,4,3.0,clear sky
3,Qaanaaq,GL,77.484,-69.3632,7.41,76,74,4.99,broken clouds
4,Waddan,LY,29.1614,16.139,49.42,60,0,0.87,clear sky
5,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,77,90,8.05,overcast clouds
6,Laguna,US,38.421,-121.4238,51.8,87,90,4.61,mist
7,Kodiak,US,57.79,-152.4072,37.4,93,90,32.21,light rain
8,Mataura,NZ,-46.1927,168.8643,73.0,64,47,3.0,scattered clouds
9,Rikitea,PF,-23.1203,-134.9692,77.58,72,77,10.13,broken clouds
10,Kapaa,US,22.0752,-159.319,77.0,78,90,10.36,light rain
11,Saskylakh,RU,71.9167,114.0833,-47.06,76,47,2.28,scattered clouds
12,Mar Del Plata,AR,-38.0023,-57.5575,69.8,78,0,20.71,clear sky
13,Hermanus,ZA,-34.4187,19.2345,66.99,86,0,1.99,clear sky
14,Carnarvon,AU,-24.8667,113.6333,77.0,100,0,13.8,clear sky
15,Chokurdakh,RU,70.6333,147.9167,-20.49,89,95,8.43,overcast clouds
16,New Norfolk,AU,-42.7826,147.0587,57.0,54,8,2.42,light rain
17,Butaritari,KI,3.0707,172.7902,81.32,77,39,22.62,scattered clouds
18,Ylojarvi,FI,61.5563,23.5961,-7.6,77,0,3.44,clear sky
19,General Salgado,BR,-20.6483,-50.3606,75.9,78,99,6.89,overcast clouds
20,Bethel,US,41.3712,-73.414,44.6,65,90,3.44,overcast clouds
21,Puerto Ayora,EC,-0.7393,-90.3518,80.6,78,75,4.61,broken clouds
22,Khudumelapye,BW,-23.8833,24.75,77.74,49,37,5.88,scattered clouds
23,Husavik,IS,66.0449,-17.3389,37.4,70,0,10.36,clear sky
24,Ambon,ID,-3.6954,128.1814,79.0,94,40,4.61,scattered clouds
25,Ixtapa,MX,20.7,-105.2,73.4,73,75,11.5,broken clouds
26,Zarubino,RU,42.63,131.0922,20.32,94,100,13.06,overcast clouds
27,La Libertad,EC,-2.2333,-80.9,84.2,70,0,8.05,clear sky
28,Provideniya,RU,64.3833,-173.3,10.4,85,90,8.95,overcast clouds
