,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vaini,TO,84.2,few clouds,-21.2,-175.2,Keleti Beach Resort
2,Hervey Bay,AU,78.01,clear sky,-25.2986,152.8535,Shelly Bay Resort
9,Rikitea,PF,77.58,broken clouds,-23.1203,-134.9692,Pension Maro'i
10,Kapaa,US,77.0,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
14,Carnarvon,AU,77.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
17,Butaritari,KI,81.32,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
19,General Salgado,BR,75.9,overcast clouds,-20.6483,-50.3606,TUTU HOTEL
21,Puerto Ayora,EC,80.6,broken clouds,-0.7393,-90.3518,Castillo Galapagos
22,Khudumelapye,BW,77.74,scattered clouds,-23.8833,24.75,
24,Ambon,ID,79.0,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
27,La Libertad,EC,84.2,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
36,Pak Phanang,TH,77.43,overcast clouds,8.3511,100.20200000000001,Green Park Inn Hotel
39,East London,ZA,75.72,broken clouds,-33.0153,27.9116,Tu Casa
45,Santa Isabel Do Rio Negro,BR,82.0,overcast clouds,-0.4139,-65.0192,Hotel GSA
46,Kavieng,PG,83.53,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
53,Itarema,BR,79.3,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
54,Buala,SB,84.24,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
63,Honiara,SB,84.49,overcast clouds,-9.4333,159.95,Heritage Park Hotel
65,Kieta,PG,83.75,broken clouds,-6.2167,155.6333,
69,Harper,LR,78.55,light rain,4.375,-7.7169,Screensaver
71,Guiglo,CI,76.32,scattered clouds,6.5456,-7.4966,Hotel GBAOLY 2
76,Saint-Philippe,RE,78.8,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
81,Lakatoro,VU,84.65,moderate rain,-16.0999,167.4164,Lakatoro Palm Lodge
82,Benjamin Hill,MX,82.99,few clouds,30.1667,-111.1,Luis Guillermo García Medina
83,El Dovio,CO,80.6,few clouds,4.5079,-76.2362,Julián
97,Georgetown,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
98,San Patricio,US,82.4,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
105,Atuona,PF,77.36,few clouds,-9.8,-139.0333,Villa Enata
109,Pemba,MZ,80.6,broken clouds,-12.974,40.5178,Guesthouse Samotina
110,Maceio,BR,78.8,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
111,Nova Olimpia,BR,82.92,moderate rain,-14.7972,-57.2881,Motel glamour
112,Faanui,PF,81.63,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
