City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kommunar,RU,2021-01-15 16:06:20,59.6206,30.39,5.0,85,75,8.95
1,Busselton,AU,2021-01-15 16:03:29,-33.65,115.3333,61.0,70,0,7.0
2,Kodiak,US,2021-01-15 16:06:20,57.79,-152.4072,33.8,86,75,6.08
3,Turukhansk,RU,2021-01-15 16:06:20,65.8167,87.9833,-35.41,80,3,5.03
4,Avarua,CK,2021-01-15 16:06:20,-21.2078,-159.775,78.8,83,40,2.3
5,Nanortalik,GL,2021-01-15 16:06:20,60.1432,-45.2371,27.54,95,93,5.68
6,Nikolskoye,RU,2021-01-15 16:06:20,59.7035,30.7861,5.0,85,75,8.95
7,Pokosnoye,RU,2021-01-15 16:06:20,55.5258,101.0536,-1.71,91,100,11.7
8,Puerto Ayora,EC,2021-01-15 16:06:21,-0.7393,-90.3518,82.4,65,0,9.22
9,Castro Marim,PT,2021-01-15 16:06:21,37.2207,-7.4435,59.0,44,0,7.0
10,Cape Town,ZA,2021-01-15 16:05:45,-33.9258,18.4232,73.4,60,40,16.11
11,Rikitea,PF,2021-01-15 16:06:21,-23.1203,-134.9692,77.83,68,1,5.46
12,Barrow,US,2021-01-15 16:06:21,71.2906,-156.7887,-9.4,77,1,13.8
13,Anadyr,RU,2021-01-15 16:06:21,64.75,177.4833,-9.0,77,75,8.95
14,Bluff,NZ,2021-01-15 16:06:21,-46.6,168.3333,55.15,95,10,3.4
15,Kahului,US,2021-01-15 16:06:21,20.8947,-156.47,66.99,88,1,2.75
16,Doha,QA,2021-01-15 16:05:32,25.2867,51.5333,68.0,55,0,1.14
17,Ushuaia,AR,2021-01-15 16:06:21,-54.8,-68.3,59.0,51,20,8.05
18,Lakes Entrance,AU,2021-01-15 16:06:21,-37.8811,147.981,51.01,79,10,1.99
19,Winneba,GH,2021-01-15 16:06:22,5.3511,-0.6231,86.0,66,20,16.11
20,Clyde River,CA,2021-01-15 16:06:22,70.4692,-68.5914,-4.0,84,90,2.3
21,Vaini,TO,2021-01-15 16:06:22,-21.2,-175.2,77.0,94,20,5.75
22,Yasnyy,RU,2021-01-15 16:06:22,51.0333,59.8742,16.34,93,100,16.15
23,Tinyahuarco,PE,2021-01-15 16:06:22,-10.75,-76.3,42.03,88,100,5.91
24,Severo-Kurilsk,RU,2021-01-15 16:06:22,50.6789,156.125,25.11,94,100,9.01
25,Mangrol,IN,2021-01-15 16:06:22,21.1167,70.1167,71.67,41,0,11.23
26,Manjacaze,MZ,2021-01-15 16:06:22,-24.7117,33.8828,86.02,64,62,9.55
27,Punta Arenas,CL,2021-01-15 16:03:35,-53.15,-70.9167,57.2,72,20,10.36
28,Sao Filipe,CV,2021-01-15 16:06:22,14.8961,-24.4956,75.56,60,100,11.43
29,Port Hardy,CA,2021-01-15 16:06:22,50.6996,-127.4199,46.4,100,75,5.75
30,Yar-Sale,RU,2021-01-15 16:06:23,66.8333,70.8333,-6.2,90,100,6.51
31,Jalu,LY,2021-01-15 16:06:23,29.0331,21.5482,59.76,45,51,8.05
32,Munak,IN,2021-01-15 16:06:23,29.5187,76.8486,52.47,49,0,4.07
33,Zomergem,BE,2021-01-15 16:06:23,51.1277,3.5553,35.01,80,92,2.04
34,Corinto,GR,2021-01-15 16:06:23,37.9407,22.9573,48.99,57,92,11.01
35,Puerto Leguizamo,CO,2021-01-15 16:06:23,-0.1934,-74.7819,85.62,54,73,5.5
36,Bredasdorp,ZA,2021-01-15 16:06:23,-34.5322,20.0403,77.0,47,15,25.32
37,Hermanus,ZA,2021-01-15 16:06:23,-34.4187,19.2345,72.0,73,21,5.99
38,Khovu-Aksy,RU,2021-01-15 16:06:23,51.1333,93.6,-13.04,82,0,4.0
39,Cidreira,BR,2021-01-15 16:06:23,-30.1811,-50.2056,78.53,76,66,20.49
40,Neuquen,AR,2021-01-15 16:06:23,-38.9516,-68.0591,81.9,18,15,22.46
41,Taurage,LT,2021-01-15 16:06:24,55.2522,22.2897,13.95,96,97,5.5
42,Kaitangata,NZ,2021-01-15 16:06:24,-46.2817,169.8464,57.87,93,89,3.04
43,Lagoa,PT,2021-01-15 16:06:24,39.05,-27.9833,61.43,82,100,25.01
44,East London,ZA,2021-01-15 16:06:24,-33.0153,27.9116,71.6,88,75,25.32
45,Tilichiki,RU,2021-01-15 16:06:24,60.4667,166.1,-26.7,85,0,7.14
